source,listing_url,model,year,age,mileage,price_rm,transmission,fuel_type,engine_size,variant,location,seller_type,posted_at,scraped_at
mudah,https://www.mudah.my/2022-mercedes-benz-c200-1-5-amg-line-hud-jpn-unreg-114476158.htm,C_CLASS,2022,4,62499,189000,,Petrol,,C200,Selangor - Cyberjaya,dealer,2026-07-03,2026-07-03T17:47:31.886098
mudah,https://www.mudah.my/2022-mercedes-benz-c200-1-5-avantgarde-amg-line-114472974.htm,C_CLASS,2022,4,2499,203000,,Petrol,,C200,Kuala Lumpur - Titiwangsa,dealer,2026-07-03,2026-07-03T17:47:31.885099
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-f-loan-114382411.htm,C_CLASS,2016,10,104999,60800,,Petrol,,C200,Selangor - Kajang,dealer,2026-07-03,2026-07-03T17:47:31.883089
mudah,https://www.mudah.my/2019-mercedes-benz-c200-1-5-amg-a-full-loan-114380377.htm,C_CLASS,2019,7,82499,87800,,Petrol,,C200,Selangor - Kajang,dealer,2026-07-03,2026-07-03T17:47:31.881120
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-facelift-low-mil-one-owner-114299582.htm,C_CLASS,2018,8,67499,84800,,Petrol,,C200,Selangor - Seri Kembangan,dealer,2026-07-03,2026-07-03T17:47:31.879093
mudah,https://www.mudah.my/otr-all-in-2020-mercedes-benz-c200-w205-facelift-114102698.htm,C_CLASS,2019,7,72499,89630,,Petrol,,C200,Selangor - Puchong,dealer,2026-07-03,2026-07-03T17:47:31.878119
mudah,https://www.mudah.my/1996-2001-mercedes-benz-c200-a-113455090.htm,C_CLASS,1996,30,224999,6999,,Petrol,,C200,Selangor - Sepang,dealer,2026-07-03,2026-07-03T17:47:31.877119
mudah,https://www.mudah.my/2016-mercedes-benz-c200-convert-c63-2-0-3-yr-wrty-113085626.htm,C_CLASS,2016,10,87499,63800,,Petrol,,C200,Kuala Lumpur - Salak Selatan,dealer,2026-07-03,2026-07-03T17:47:31.874117
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-112896938.htm,C_CLASS,2016,10,87499,66800,,Petrol,,C200,Selangor - Bangi,dealer,2026-07-02,2026-07-03T17:47:31.873107
mudah,https://www.mudah.my/2020-mercedes-benz-c200-1-5-4matic-laureus-114758332.htm,C_CLASS,2020,6,37499,149000,Automatic,Petrol,,C200,Selangor - Puncak Alam,dealer,2026-07-02,2026-07-03T10:27:26.638199
