"specific model of the car","engine type","engine cc","engine aspiration","gear type/transmission","number of gears","top speed (km/h)","front brakes","rear brakes","front suspension","rear suspension","boot space (litres)","seat capacity","number of doors","torque (Nm)","time for 0-100 km/h (s)","mileage","fuel type","year of the car","price (RM)"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","124999","Petrol","2017","69800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","47499","Petrol","2018","99800"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","52499","Mild Hybrid / Petrol","2022","155999"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","52499","Mild Hybrid / Petrol","2022","155999"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","62499","Mild Hybrid / Petrol","2022","189000"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","2499","Mild Hybrid / Petrol","2022","203000"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","104999","Petrol","2016","60800"
"C_CLASS C200","","","","","","","","","","","","","","","","82499","","2019","87800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","67499","Petrol","2018","84800"
"C_CLASS C200","","","","","","","","","","","","","","","","72499","","2019","89630"
"C_CLASS C200","","","","","","","","","","","","","","","","224999","","1996","6999"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","87499","Petrol","2016","63800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","87499","Petrol","2016","66800"
