source,listing_url,specific model of the car,gear type/transmission,mileage,fuel type,year of the car,price (RM),variant,location,seller_type,posted_at,scraped_at
mudah,https://www.mudah.my/mercedes-benz-c200-1-8-cgi-blueefcy-leatherseat-114794531.htm,C_CLASS C200,,124999,Petrol,2011,28888,C200,Kuala Lumpur - Sungai Besi,dealer,2026-07-03,2026-07-03T17:47:31.894117
mudah,https://www.mudah.my/2017-mercedes-benz-c200-2-0-avantgarde-ckd-a-114731384.htm,C_CLASS C200,,124999,Petrol,2017,69800,C200,Kuala Lumpur - Ampang Hilir,dealer,2026-07-03,2026-07-03T17:47:31.892110
mudah,https://www.mudah.my/2018-mercedes-benz-c200-1-5-ori-mileage-55k-114685120.htm,C_CLASS C200,,47499,Petrol,2018,99800,C200,Kuala Lumpur - Sungai Besi,dealer,2026-07-03,2026-07-03T17:47:31.891101
mudah,https://www.mudah.my/c-c-service-2022-mercedes-benz-c200-1-5-av-w206-114638829.htm,C_CLASS C200,,52499,Petrol,2022,155999,C200,Selangor - Puchong,dealer,2026-07-03,2026-07-03T17:47:31.889100
mudah,https://www.mudah.my/only-54k-km-mercedes-benz-c200-1-5-w206-2022-114637972.htm,C_CLASS C200,,52499,Petrol,2022,155999,C200,Selangor - Puchong,dealer,2026-07-03,2026-07-03T17:47:31.888100
mudah,https://www.mudah.my/2022-mercedes-benz-c200-1-5-amg-line-hud-jpn-unreg-114476158.htm,C_CLASS C200,,62499,Petrol,2022,189000,C200,Selangor - Cyberjaya,dealer,2026-07-03,2026-07-03T17:47:31.886098
mudah,https://www.mudah.my/2022-mercedes-benz-c200-1-5-avantgarde-amg-line-114472974.htm,C_CLASS C200,,2499,Petrol,2022,203000,C200,Kuala Lumpur - Titiwangsa,dealer,2026-07-03,2026-07-03T17:47:31.885099
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-f-loan-114382411.htm,C_CLASS C200,,104999,Petrol,2016,60800,C200,Selangor - Kajang,dealer,2026-07-03,2026-07-03T17:47:31.883089
mudah,https://www.mudah.my/2019-mercedes-benz-c200-1-5-amg-a-full-loan-114380377.htm,C_CLASS C200,,82499,Petrol,2019,87800,C200,Selangor - Kajang,dealer,2026-07-03,2026-07-03T17:47:31.881120
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-facelift-low-mil-one-owner-114299582.htm,C_CLASS C200,,67499,Petrol,2018,84800,C200,Selangor - Seri Kembangan,dealer,2026-07-03,2026-07-03T17:47:31.879093
mudah,https://www.mudah.my/otr-all-in-2020-mercedes-benz-c200-w205-facelift-114102698.htm,C_CLASS C200,,72499,Petrol,2019,89630,C200,Selangor - Puchong,dealer,2026-07-03,2026-07-03T17:47:31.878119
mudah,https://www.mudah.my/1996-2001-mercedes-benz-c200-a-113455090.htm,C_CLASS C200,,224999,Petrol,1996,6999,C200,Selangor - Sepang,dealer,2026-07-03,2026-07-03T17:47:31.877119
mudah,https://www.mudah.my/2016-mercedes-benz-c200-convert-c63-2-0-3-yr-wrty-113085626.htm,C_CLASS C200,,87499,Petrol,2016,63800,C200,Kuala Lumpur - Salak Selatan,dealer,2026-07-03,2026-07-03T17:47:31.874117
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-112896938.htm,C_CLASS C200,,87499,Petrol,2016,66800,C200,Selangor - Bangi,dealer,2026-07-02,2026-07-03T17:47:31.873107
