specific model of the car,engine type,engine cc,engine aspiration,gear type/transmission,number of gears,top speed (km/h),front brakes,rear brakes,front suspension,rear suspension,boot space (litres),seat capacity,number of doors,torque (Nm),time for 0-100 km/h (s),mileage,fuel type,year of the car,price (RM),source listing_url,specs source_url,match_confidence
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,42499,Petrol,2018,103800,https://www.mudah.my/2018-mercedes-benz-c200-1-5-avantgarde-facelift-115116596.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,62499,Mild Hybrid / Petrol,2023,163800,https://www.mudah.my/mercedes-benz-c200-1-5-w206-f-ser-udr-wrty-2027-115108171.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,27499,,2020,147000,https://www.mudah.my/7-7-sale-kaw-kaw-c200-laureus-yr-2020-merc-115096492.htm,,unmatched
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,77499,Petrol,2017,76888,https://www.mudah.my/2017-mercedes-benz-c200-2-0-exclusive-model-115092399.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,62499,Mild Hybrid / Petrol,2021,155800,https://www.mudah.my/ori-fsr-2021-mercedes-benz-c200-1-5-doctor-owner-115080244.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,62499,Petrol,2018,71888,https://www.mudah.my/2018-mercedes-benz-c200-2-0-1y-warranty-f-spec-115062664.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,72499,Petrol,2018,75900,https://www.mudah.my/2018-mercedes-benz-c200-2-0-a-like-new-car-115062628.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,27499,Mild Hybrid / Petrol,2023,188800,https://www.mudah.my/2023-mercedes-benz-c200-1-5-avantgarde-my22-w206-115054659.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,32499,Mild Hybrid / Petrol,2023,228000,https://www.mudah.my/fully-spec-mercedes-benz-c200-1-5t-amg-p-roof-hud-115016933.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,134999,Petrol,2016,59888,https://www.mudah.my/mercedes-benz-c200-2-0-avantgarde-7speed-pushstart-115000343.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz W204 Class C 200 CGI BlueEFFICIENCY Berlina Aut. Specs,Inline 4,1796,Turbo + Intercooler,5 speed Automatic,5,232,Vented Discs,Discs,Independent MacPherson struts. Coil springs. Anti-roll bar.,Independent. Coil Springs. Anti-roll bar.,475,5,4,270,8.2,97499,Petrol,2014,57800,https://www.mudah.my/14-21-mercedes-benz-c200-2-0cc-114990273.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/10887/Mercedes-Benz-W204-Class-C-200-CGI-BlueEFFICIENCY-Berlina-Aut.html,exact
